gene,DFS.HV.CTC.5,ZZY.HV.CTC24,ZZY.HV.CTC5,ZZY.HV.CTC6,ZZY.HV.CTC7,GRL.HV.CTC14,GRL.HV.CTC15,GRL.HV.CTC18,LYT.PA.CTC.7,GHM.PA.CTC1,GHM.PA.CTC2,GHM.PA.CTC4,GHM.PA.CTC6,GRL.PA.CTC1,GRL.PV.CTC4,JYQ.PV.CTC2,DFS.PoV.CTC.3,DFS.PoV.CTC.4,DFS.PoV.CTC.6,LYT.PoV.CTC.1,LYT.PoV.CTC.5,LYT.PoV.CTC.6,XDY.PoV.CTC1,XDY.PoV.CTC3,XDY.PoV.CTC4,XDY.PoV.CTC5,XDY.PoV.CTC6,ZZY.PoV.CTC1,GHM.PoV.CTC2,XYQ.HV.CTC.15,XYQ.HV.CTC.16,XYQ.HV.CTC.2,XYQ.HV.CTC.5,LYT.PV.CTC.6,LYT.PV.CTC.9,XYQ.PV.CTC.11,LYT.PV.CTC.4,XYQ.PV.CTC.6,LFG.PV.CTC2,LFG.PV.CTC4,XDY.HV.CTC6,XDY.HV.CTC8,JYQ.HV.CTC1,LFG.HV.CTC1,LFG.HV.CTC4,GRL.PA.CTC2,JYQ.PA.CTC3,DFS.PV.CTC.2,DFS.PV.CTC.3,DFS.PV.CTC.4,LYT.HV.CTC.12,LYT.HV.CTC.14,LYT.HV.CTC.2,LYT.HV.CTC.4,XYQ.HV.CTC.7,XYQ.HV.CTC.8,JYQ.HV.CTC4,HYL.HV.CTC.4,HYL.HV.CTC.5,HYL.HV.CTC.7,HYL.HV.CTC.8,LYT.HV.CTC.10,GRL.HV.CTC3,XDY.HV.CTC10,XDY.HV.CTC11,XDY.HV.CTC12,XDY.HV.CTC1,XDY.HV.CTC3,HYL.PV.CTC.5,HYL.PV.CTC.6,HYL.PV.CTC.7,LYT.PV.CTC.10,LYT.PV.CTC.12,LYT.PV.CTC.13,LYT.PV.CTC.14,LYT.PV.CTC.15,LYT.PV.CTC.16,LYT.PV.CTC.20,LYT.PV.CTC.21,LYT.PV.CTC.22,LYT.PV.CTC.25,LYT.PV.CTC.26,LYT.PoV.CTC.2,LYT.PoV.CTC.4,LYT.PA.CTC.1,LYT.PA.CTC.3,LYT.PA.CTC.5,LYT.PA.CTC.6,XDY.PV.CTC8,GRL.PV.CTC1,GRL.PV.CTC2,GRL.PV.CTC3,ZZY.HV.CTC14,ZZY.HV.CTC17,ZZY.HV.CTC19,ZZY.HV.CTC22,JYQ.HV.CTC6,HYL.HV.CTC.1,HYL.HV.CTC.2,HYL.HV.CTC.3,DFS.PV.CTC.6,DFS.PV.CTC.7,HYL.PV.CTC.1,HYL.PV.CTC.2,HYL.PV.CTC.4,LFG.PV.CTC5,LFG.PV.CTC7,XDY.PV.CTC11,XDY.PV.CTC2,XDY.PV.CTC3,GRL.PoV.CTC1,LYT.HV.CTC.7,ZZY.HV.CTC11
PGM2L1,7.743722968,7.36732099,7.099014393,7.570689402,7.509294252,8.154942617,8.411771432,7.879700434,8.202098317,7.099014393,7.902859051,7.138663945,7.119505091,8.381274516,7.099014393,8.49027154,8.042833909,7.78628766,7.677374281,8.005598153,8.106862326,7.805547919,7.105571865,7.150885766,7.109134235,8.447341203,8.23843893,7.813987323,7.408206858,7.42173694,8.007247504,7.966022907,8.105420999,8.071728039,7.781737843,8.234301233,8.220503579,7.889385755,7.11126663,7.099014393,7.698551053,8.462396383,8.650349048,7.808243559,8.840775543,7.798161634,8.133994727,7.872684748,7.481339943,7.186466007,8.42631895,8.308797205,8.267060762,7.950602992,8.066086096,7.265552664,8.236480181,7.743732164,7.778203288,7.568730691,7.872675062,8.147275967,7.210529024,8.62098294,7.106449832,7.186023042,8.391178625,7.780879064,7.287211702,8.0467021,7.426939501,7.665276359,7.974633593,8.111301532,7.816868248,8.346372967,8.184157688,7.999892039,8.213129498,8.026733952,7.495803866,8.174103482,8.299166759,8.218295946,8.214757565,8.217985882,7.935910199,8.214275071,8.498635507,8.05935637,8.795266494,7.380751266,7.512656157,7.573655182,7.523096105,7.099014393,7.659299726,7.880460601,7.779222744,7.888961935,7.724867864,7.21361694,7.494254743,7.855148385,7.842668798,7.289534977,7.702937077,8.489791165,8.291944162,7.952597543,7.099014393,7.755077896,7.108030665
SHMT1,7.182923466,8.098101797,8.09480992,8.11708468,8.207384653,8.431680279,8.25755792,8.730054498,7.099014393,7.099014393,8.823430536,7.132666144,7.099014393,8.189271295,7.099014393,7.099014393,7.39955672,7.832442661,8.062754684,8.064113836,8.239029524,7.099014393,7.199766711,7.099014393,8.605188763,8.221775188,8.441166858,8.146477061,8.272798901,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.744463008,8.265723837,7.665497683,7.099014393,8.368658709,7.099014393,7.099014393,8.379900458,8.278070681,7.462321751,7.099014393,7.099014393,7.099014393,7.099014393,7.16850764,7.099014393,7.099014393,7.56577597,7.099014393,7.25713403,8.090370022,7.278966103,8.252708282,7.099014393,8.22992108,7.099014393,7.362412991,7.099014393,7.099014393,7.28150427,7.182259896,7.099014393,7.362620063,7.099014393,7.255356841,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.829464971,7.099014393,7.099014393,7.099014393,7.099014393,7.392359936,7.099014393,7.243615922,7.663074913,7.099014393,7.099014393,7.099014393,8.174341413,7.995013223,7.610908525,8.074878656,7.798827558,7.364183627,7.635457169,7.099014393,7.099014393,7.992042219,7.375873231,8.42887693,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.633449871,7.099014393,7.80961336
CD74,8.86000798,8.339967902,8.011150675,8.171601098,7.81368856,8.736256071,9.080683129,8.8168863,8.757010361,8.690467707,9.107836003,8.799145532,8.918663317,9.332980493,8.962510622,9.048818329,8.925653427,8.784464816,8.848085726,8.532595568,8.64736797,8.931155559,9.073507504,8.435120201,8.820069205,8.900170544,8.929814438,8.583381108,8.746658086,9.125823035,8.918576487,8.927632264,9.019739118,8.948204611,8.826735423,8.998985199,9.326317992,8.848313304,9.373297885,7.753952569,8.367269522,8.222404832,9.185812722,7.219706643,7.099014393,8.822784925,9.386759244,8.618245001,8.720591227,9.802564343,9.086644934,8.875015875,9.267739432,8.700955268,8.899384443,9.059233945,9.009747314,9.011023434,8.827199141,8.493848366,8.987430875,9.020345631,8.942218957,8.526350426,8.784451498,8.806040876,8.825469203,8.603630044,9.295473479,8.76637226,9.266359245,8.908721557,9.004862013,8.636708409,9.044082042,8.749072507,8.871084506,9.11384482,9.1942687,9.195075095,9.004866725,9.346345031,8.788325536,9.195032619,8.647875315,8.630942147,9.071592621,8.508081123,8.933859463,9.343294477,8.781919457,9.290063833,8.064872892,8.007189893,8.145732353,7.894839318,9.114243483,9.023886887,8.994477172,8.993280531,9.204854555,8.896301779,9.110297332,8.888537319,9.130349165,8.997622041,8.910701528,8.849644822,8.876154564,8.896829746,9.259056537,9.2797667,8.212853093
PDZK1IP1,8.644688033,8.09429048,8.214961774,8.301196837,8.421952477,9.179270357,9.283782315,9.384223951,9.514642248,9.365642391,9.462629978,9.245263058,9.215970231,9.350756213,9.542711237,9.508564214,8.770640719,8.483688963,8.65265534,8.875696519,9.524810576,9.124507525,9.045328355,8.534030001,8.906768325,8.856910132,9.209156108,8.85343658,8.50137709,8.713231764,8.976334373,8.967416986,9.066842121,8.940397406,8.650226308,9.058214226,9.5656217,8.931022563,9.230579849,9.457825393,8.264848777,9.098991959,9.534439088,8.310628279,9.688146384,9.189372527,9.397083634,8.478916644,8.199823623,9.480716804,9.506858053,9.10060469,9.123830179,8.965920464,9.067856828,8.949342027,9.135799452,8.967209247,9.138996483,8.477695685,9.194364617,9.044034517,9.336861178,9.286857461,8.719318993,9.122500258,9.16844411,8.612672151,9.338561894,9.069544347,9.360442641,8.862589095,8.96729456,8.946738211,9.024859975,9.059810233,8.960783699,9.322933293,9.33291616,9.108688047,8.97418505,9.460529224,9.558599594,9.107422094,9.417124948,9.485504992,9.421800658,9.445410835,9.063169839,9.666967356,9.710305649,9.119563419,8.188280222,8.071388299,8.117121037,7.848270092,8.996012396,9.225491072,9.246168714,9.223987021,9.048282427,8.767033606,9.297332203,8.986673049,9.241054915,9.512216219,9.345278684,9.28010879,9.047814686,8.841969881,9.184590354,9.290190903,8.121668809
PDE6A,7.625694752,7.099014393,7.105974605,7.107197581,7.12350059,7.128697476,7.208603887,7.099014393,7.196135418,7.099014393,7.121849695,7.143600489,7.099014393,7.099014393,7.17732117,7.310238913,7.515146795,7.571375321,7.544070579,7.157815462,7.099014393,7.247438406,7.164295186,7.109365443,7.114175125,7.16221983,7.218751709,7.099014393,7.138751905,7.392547685,7.416050015,7.167526701,7.141385169,7.431202936,7.537144159,7.099014393,7.263399312,7.880024575,7.169165439,7.138414896,7.112954484,7.129520693,7.099014393,7.099014393,7.099014393,7.109315779,7.130387461,7.371938292,7.502854343,7.099014393,7.526944087,7.406821917,7.21192165,7.657177557,7.198672324,7.189088772,7.099014393,7.409434115,7.139023,7.374156841,7.099014393,7.575210715,7.259554603,7.099014393,7.099014393,7.141140735,7.123138522,7.143605722,7.361896885,7.23881597,7.24714349,7.506580359,7.395637636,7.571702575,7.481564019,7.472193163,7.42404666,7.152727129,7.173752159,7.322328849,7.572259485,7.550119704,7.297411535,7.366922474,7.212297918,7.099014393,7.140057354,7.199836591,7.15782507,7.195161851,7.13168229,7.26763685,7.105966083,7.099014393,7.099014393,7.112517059,7.099014393,7.099014393,7.099014393,7.155957231,7.340738224,7.303465682,7.208956321,7.17291132,7.146383673,7.099014393,7.120877925,7.106666413,7.214422375,7.148427592,7.099014393,7.155815083,7.099014393
SLC22A23,7.133550874,7.635733235,7.149423936,7.641700467,7.698681076,7.730261072,7.785402193,7.448126354,7.40634447,7.249557143,7.340203306,8.144096918,7.17437433,7.099014393,7.907216838,8.074766763,7.867749008,7.681393004,7.389490772,7.596995255,7.990517519,7.814045389,7.935371129,7.694719107,7.313673347,7.827749291,7.820161037,7.916545695,7.106190536,8.166975086,7.360608341,7.940049438,7.913859013,7.794415578,7.676455162,8.186089068,7.725523879,7.666658174,7.737216726,7.912674094,7.454727439,8.011518463,8.334940805,7.099014393,7.683560904,7.384510131,7.618387088,7.112690836,7.099014393,7.751369782,7.099014393,8.143020541,7.662628184,8.007402786,7.904631999,8.032687337,7.982751499,7.551779137,8.013265884,7.849817235,7.684562459,7.639780182,7.099014393,7.916354357,7.706473487,8.429893286,7.434517282,7.296360554,7.925720074,8.197980433,8.133963124,7.367324478,7.523990659,7.165867429,7.339513122,7.458917903,7.851044495,7.671442856,7.885697897,7.694549512,7.390466579,7.477660641,7.900541405,7.964425426,8.043869542,7.658320734,7.867374289,7.715748402,7.835112042,7.835858616,7.252680639,7.099014393,7.742179415,7.976087351,7.760342024,7.827833265,7.67808735,7.539801909,7.753621907,7.92990748,7.871880649,7.790866328,7.853411514,7.717287116,7.81973053,7.669001782,8.160735427,8.177497907,7.824181186,7.855243643,8.354461998,7.099014393,7.441635766
ATPIF1,8.538032309,8.072986071,8.227248201,8.089483207,8.192869205,8.297054819,8.442774874,8.243350364,8.70472579,8.840854334,8.636644211,8.775258622,8.609595147,8.592673488,9.130729782,9.199808653,8.510173023,8.545255114,8.653151728,8.62395694,8.509639956,8.547490812,8.689839563,8.666447282,8.504733666,8.485927904,8.431760698,8.359489355,8.416899161,8.368502568,8.421077822,8.555595665,8.481855467,8.425199215,8.325417028,8.711100495,8.715914741,8.569150806,8.555899931,8.035567229,8.511226688,8.46864763,8.739060328,8.719418213,7.099014393,8.812250512,8.671578234,8.609016579,8.542709242,8.869187727,7.859941585,8.760407397,8.534085623,8.680441678,8.711743924,8.393681109,8.384328735,8.447814624,8.536691037,8.63026718,8.48480107,8.591248371,8.345888926,8.381867771,8.563797917,8.760134892,8.469472712,8.447958626,8.341794535,8.494512822,8.18770995,8.37395785,8.452776326,8.533348824,8.52174517,8.609312626,8.607678987,8.751219094,8.530539631,8.421263224,8.382211005,8.612539984,8.745985293,8.664621437,8.597750825,8.591013452,8.510313716,8.705259814,8.448285058,8.569131927,7.407875991,7.099014393,8.229508852,8.053950042,8.180069072,8.140012509,7.982442173,8.458195216,8.357017826,8.483178567,8.264065669,8.55853536,7.894146321,8.825476416,8.431106872,7.099014393,8.825581368,8.475444578,8.381462901,8.425112886,8.720221281,8.565590298,8.16409224
MAX,8.548508281,7.817930599,8.043484548,8.107819929,8.115669038,8.859316762,9.22856835,9.150757987,9.241291452,9.172779258,9.305060086,9.119740559,9.131219225,9.042294383,9.320957274,9.458244975,8.659822279,8.607342429,8.543539988,8.655052942,9.245495693,8.881096856,9.017645402,8.530996508,8.679957263,8.966424943,9.163756749,8.784785128,8.371249171,9.094741057,9.111036377,9.012186785,9.206781196,8.774724104,8.466150129,9.111528761,9.330810507,8.903330663,9.20530175,9.396751756,8.304704126,9.026968015,9.191543079,8.263035767,9.633640772,9.011607451,8.500932484,8.467270124,8.678437955,9.497928964,9.293513561,8.918403894,8.964680671,8.840489709,9.209279009,9.248563984,9.050842376,8.842220543,8.957630674,8.383087753,8.999316957,8.776005337,9.261023377,9.160532451,8.493713982,8.92122456,9.11803868,8.558757817,9.163956872,8.919264928,9.198621974,8.735798689,8.753848987,8.771249851,8.773535922,8.888484095,8.800271873,9.083661481,9.104031872,8.89259902,8.745787941,9.290643763,9.259026395,8.90940624,9.158659226,9.201491268,9.11835234,9.170475928,8.947364005,9.585906175,9.463721265,9.268176546,8.036576063,7.753535138,8.108397118,7.569579027,8.946193086,8.996155133,9.044687451,9.051785918,9.035907798,8.777962199,9.107702578,8.86462991,9.130647652,9.472343408,9.31758114,9.137433396,8.937615769,8.694062769,9.179509472,9.103699128,8.185511948
FUT10,7.099014393,7.259131802,7.099014393,7.099014393,7.818133484,7.099014393,7.117986408,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.347794745,7.099014393,7.099014393,7.099014393,8.105367914,7.099014393,7.169405337,7.099014393,7.099014393,7.796901602,7.099014393,7.849628652,7.11110739,7.099014393,7.099014393,7.11720247,7.099014393,7.505929027,7.099014393,7.099014393,7.099014393,7.190090927,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.583626221,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.954727482,7.099014393,7.099014393,7.837314465,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.170504258,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.724167989,7.099014393,7.099014393,7.099014393,7.099014393,7.874548794,7.099014393,7.099014393,7.86759791,7.423139246,7.307557801,7.415786656,7.099014393,7.099014393,7.099014393,7.099014393,7.889467701,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.347799438,7.337628359,7.109326803,7.699116673,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.604070429
ANXA9,7.9712473,8.0870918,8.049880769,8.09696567,8.202701377,7.379419372,7.710799953,7.099014393,7.099014393,7.099014393,8.397985951,7.099014393,7.263080656,8.618666893,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.211945726,7.099014393,7.251387775,7.099014393,7.099014393,7.099014393,7.099014393,7.299426203,7.562540845,7.099014393,7.099014393,7.580250957,7.286100918,7.099014393,7.376717378,7.741435038,7.638629017,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.154216166,7.099014393,7.099014393,7.099014393,7.785708785,7.099014393,7.099014393,7.311009047,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.261497885,8.221973863,7.099014393,7.317094864,7.674928647,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.563560615,7.901620241,7.099014393,7.099014393,7.099014393,7.580055475,7.92173489,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.682505491,7.099014393,7.099014393,7.099014393,7.313585176,7.630648614,7.099014393,7.099014393,7.099014393,7.099014393,8.210844796,8.017251582,7.748920489,7.789813924,7.736404857,7.676641271,7.245857923,7.099014393,7.099014393,7.099014393,7.099014393,7.296788235,7.50226256,7.099014393,7.222569989,7.099014393,8.200380981,7.099014393,7.099014393,7.099014393,8.335614988
