gene,DFS.HV.CTC.5,ZZY.HV.CTC24,ZZY.HV.CTC5,ZZY.HV.CTC6,ZZY.HV.CTC7,GRL.HV.CTC14,GRL.HV.CTC15,GRL.HV.CTC18,LYT.PA.CTC.7,GHM.PA.CTC1,GHM.PA.CTC2,GHM.PA.CTC4,GHM.PA.CTC6,GRL.PA.CTC1,GRL.PV.CTC4,JYQ.PV.CTC2,DFS.PoV.CTC.3,DFS.PoV.CTC.4,DFS.PoV.CTC.6,LYT.PoV.CTC.1,LYT.PoV.CTC.5,LYT.PoV.CTC.6,XDY.PoV.CTC1,XDY.PoV.CTC3,XDY.PoV.CTC4,XDY.PoV.CTC5,XDY.PoV.CTC6,ZZY.PoV.CTC1,GHM.PoV.CTC2,XYQ.HV.CTC.15,XYQ.HV.CTC.16,XYQ.HV.CTC.2,XYQ.HV.CTC.5,LYT.PV.CTC.6,LYT.PV.CTC.9,XYQ.PV.CTC.11,LYT.PV.CTC.4,XYQ.PV.CTC.6,LFG.PV.CTC2,LFG.PV.CTC4,XDY.HV.CTC6,XDY.HV.CTC8,JYQ.HV.CTC1,LFG.HV.CTC1,LFG.HV.CTC4,GRL.PA.CTC2,JYQ.PA.CTC3,DFS.PV.CTC.2,DFS.PV.CTC.3,DFS.PV.CTC.4,LYT.HV.CTC.12,LYT.HV.CTC.14,LYT.HV.CTC.2,LYT.HV.CTC.4,XYQ.HV.CTC.7,XYQ.HV.CTC.8,JYQ.HV.CTC4,HYL.HV.CTC.4,HYL.HV.CTC.5,HYL.HV.CTC.7,HYL.HV.CTC.8,LYT.HV.CTC.10,GRL.HV.CTC3,XDY.HV.CTC10,XDY.HV.CTC11,XDY.HV.CTC12,XDY.HV.CTC1,XDY.HV.CTC3,HYL.PV.CTC.5,HYL.PV.CTC.6,HYL.PV.CTC.7,LYT.PV.CTC.10,LYT.PV.CTC.12,LYT.PV.CTC.13,LYT.PV.CTC.14,LYT.PV.CTC.15,LYT.PV.CTC.16,LYT.PV.CTC.20,LYT.PV.CTC.21,LYT.PV.CTC.22,LYT.PV.CTC.25,LYT.PV.CTC.26,LYT.PoV.CTC.2,LYT.PoV.CTC.4,LYT.PA.CTC.1,LYT.PA.CTC.3,LYT.PA.CTC.5,LYT.PA.CTC.6,XDY.PV.CTC8,GRL.PV.CTC1,GRL.PV.CTC2,GRL.PV.CTC3,ZZY.HV.CTC14,ZZY.HV.CTC17,ZZY.HV.CTC19,ZZY.HV.CTC22,JYQ.HV.CTC6,HYL.HV.CTC.1,HYL.HV.CTC.2,HYL.HV.CTC.3,DFS.PV.CTC.6,DFS.PV.CTC.7,HYL.PV.CTC.1,HYL.PV.CTC.2,HYL.PV.CTC.4,LFG.PV.CTC5,LFG.PV.CTC7,XDY.PV.CTC11,XDY.PV.CTC2,XDY.PV.CTC3,GRL.PoV.CTC1,LYT.HV.CTC.7,ZZY.HV.CTC11
ANGPTL3,7.099014393,8.391811351,8.318099653,8.42097333,8.190823077,8.4864081,7.797321779,8.444357513,8.108871327,7.667650925,8.945853574,8.329002545,8.748289545,8.684588389,7.099014393,7.187465116,8.272843859,8.025085828,7.099014393,7.764765124,7.099014393,8.097216203,8.78922962,8.023265316,8.02716933,8.659026549,9.058379444,8.087021994,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.241622946,7.099014393,7.670422612,7.099014393,8.378007607,8.389237998,7.099014393,7.90047602,8.774038997,7.29262069,7.099014393,7.099014393,7.31927152,8.676718932,7.175868334,7.099014393,7.856010124,8.786926685,8.353980819,7.099014393,8.353214073,7.099014393,7.099014393,8.006839515,7.422444541,7.74278113,7.231993742,7.306048204,7.099014393,7.099014393,8.617584113,8.058845356,9.05763079,8.765952046,7.500231004,7.099014393,7.404502536,7.426853814,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.675599486,8.371142729,7.869593545,8.029263882,7.692328211,8.162075848,7.099014393,7.099014393,7.099014393,7.099014393,8.37487059,8.053241132,8.091136191,8.188409997,8.052479138,7.581801131,7.329503665,7.508648993,7.099014393,7.396310103,7.351523772,7.569059857,7.574618262,7.099014393,8.497269599,7.099014393,7.099014393,7.099014393,8.251716281,8.285306693,7.982184688
PDE6A,7.625694752,7.099014393,7.105974605,7.107197581,7.12350059,7.128697476,7.208603887,7.099014393,7.196135418,7.099014393,7.121849695,7.143600489,7.099014393,7.099014393,7.17732117,7.310238913,7.515146795,7.571375321,7.544070579,7.157815462,7.099014393,7.247438406,7.164295186,7.109365443,7.114175125,7.16221983,7.218751709,7.099014393,7.138751905,7.392547685,7.416050015,7.167526701,7.141385169,7.431202936,7.537144159,7.099014393,7.263399312,7.880024575,7.169165439,7.138414896,7.112954484,7.129520693,7.099014393,7.099014393,7.099014393,7.109315779,7.130387461,7.371938292,7.502854343,7.099014393,7.526944087,7.406821917,7.21192165,7.657177557,7.198672324,7.189088772,7.099014393,7.409434115,7.139023,7.374156841,7.099014393,7.575210715,7.259554603,7.099014393,7.099014393,7.141140735,7.123138522,7.143605722,7.361896885,7.23881597,7.24714349,7.506580359,7.395637636,7.571702575,7.481564019,7.472193163,7.42404666,7.152727129,7.173752159,7.322328849,7.572259485,7.550119704,7.297411535,7.366922474,7.212297918,7.099014393,7.140057354,7.199836591,7.15782507,7.195161851,7.13168229,7.26763685,7.105966083,7.099014393,7.099014393,7.112517059,7.099014393,7.099014393,7.099014393,7.155957231,7.340738224,7.303465682,7.208956321,7.17291132,7.146383673,7.099014393,7.120877925,7.106666413,7.214422375,7.148427592,7.099014393,7.155815083,7.099014393
BLOC1S6,8.297688202,7.951100545,7.912238032,8.014544307,8.176715004,8.70812357,8.463779032,8.953802894,8.942124018,9.010222205,9.152642568,9.032430187,8.812198882,8.737055037,7.778656546,9.270986775,8.299615064,8.243385492,8.403916273,8.5255988,9.033046204,8.583935721,8.695520022,8.354681472,8.539806199,8.90124908,8.975939772,8.535617729,8.183918258,8.786274089,8.881490106,8.923404368,8.983609004,8.5557655,8.295698221,8.929222615,9.212618515,8.5583275,9.054509273,9.194468774,8.136839523,8.828651295,9.126417881,8.386428234,9.126380734,8.732645105,8.75976486,7.276081947,8.539319247,8.717997564,9.030769706,8.709609873,8.647804884,8.661094,9.015376089,9.002504505,9.018097535,8.574911108,8.795660539,8.265919064,8.79425299,8.582625163,8.931529784,8.93665763,8.492853849,8.849672251,8.994850762,8.387213692,8.967883504,8.718762004,8.840573965,8.482639877,8.675928067,8.648747945,8.654547715,8.728488567,8.485742573,8.95335695,8.864920975,8.63559042,8.525885935,8.989141132,9.058256504,8.741876252,8.920982459,8.99919575,8.877027484,9.038847086,8.939904426,9.525322271,8.515856367,8.91099551,7.951211376,8.084876907,8.007616639,7.907441088,8.774986683,8.776880688,8.834976161,8.730824092,8.879064714,8.538380902,9.021397974,8.651901965,8.804042347,9.117176016,8.915045748,8.955206669,8.624037926,8.570580665,8.565403484,8.661795711,8.048270126
SPAG1,7.099014393,7.600586964,7.584618479,7.305196458,7.144404483,7.099014393,7.80945888,7.117899938,7.099014393,7.099014393,7.162212332,7.340797121,7.099014393,7.099014393,7.099014393,7.815356214,7.099014393,7.099014393,7.163025184,7.155382158,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.194550998,7.568109499,7.310365875,7.894325183,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.735871767,7.143517598,7.099014393,7.676094137,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.386150731,7.099014393,7.613727019,7.176374471,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.428933764,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.867653293,7.099014393,7.099014393,7.099014393,7.41622084,7.845214397,7.799158242,7.762776954,7.099014393,7.099014393,7.099014393,7.247784919,7.877776815,7.099014393,7.099014393,7.201565253,7.099014393,7.099014393,7.099014393,7.099014393,7.559982752,7.696394366,7.099014393,7.099014393,7.153715254
LAMTOR4,8.464877135,8.300254518,8.35126838,8.417937038,8.419387756,8.731388055,7.422842705,8.894372557,8.923423225,8.9077493,8.913420241,8.673713819,8.686679259,8.598908103,8.844376559,9.120354959,8.654133684,8.5450863,8.63289441,8.56450143,9.00130106,8.78642554,8.703276887,8.493844958,8.917908226,8.802050543,8.906499775,8.590230358,8.532111469,8.992578469,8.884103181,8.991941858,8.993334583,8.584043836,8.582246604,9.06047988,9.046523299,8.542910987,8.851730592,7.099014393,8.342163732,8.807534066,9.444248398,8.383554745,7.099014393,8.843681091,9.276286722,8.363055433,8.785485128,8.189320152,9.086785779,8.724508589,8.786923114,8.421405152,8.815159337,9.017437337,8.655449557,8.656496366,8.885252296,8.346894688,8.942294552,7.099014393,7.365907043,8.993872389,8.70351855,8.97846267,8.933953601,8.424686745,9.02598818,8.864073871,9.0305267,8.661765875,8.689527688,7.099014393,8.729036087,8.85620613,8.037074331,8.760540785,8.966021358,8.892096373,8.476988333,9.082412773,9.005623157,8.660197612,8.953428114,9.149170075,8.984377772,9.025451032,8.846643751,7.099014393,8.7477726,8.722211478,8.356286496,8.413385037,8.480564924,8.332243962,8.698224923,8.963770963,8.90660129,8.996521653,8.511796205,8.731604038,8.876638655,8.709452156,8.972474658,9.050687233,8.841728082,8.968244724,8.878145903,8.597537419,9.108902886,8.615291341,8.479740498
LAMTOR3,7.839585432,7.829069233,7.590445658,7.638962138,7.506221784,7.807259391,7.405716162,7.099014393,7.099014393,7.905873168,7.157381141,8.081847601,8.285615401,7.368872484,7.566712356,7.099014393,8.294723325,7.751026575,7.992750495,7.59091252,8.143884603,7.936203345,7.148946789,7.773943374,7.868229859,8.275233919,8.447216912,8.069649579,8.159859189,7.099014393,7.867554545,7.480377243,7.860162062,7.464018245,7.099014393,7.43406015,7.580423047,7.099014393,7.099014393,7.099014393,7.981850466,8.563997161,7.152720238,8.022619072,9.149134592,8.052630881,7.099014393,7.934734964,7.887662005,7.099014393,7.099014393,7.623551661,8.594265597,8.079485922,7.099014393,8.40227087,7.761856222,7.15589362,8.22986013,7.884897947,8.042893665,8.267155206,7.099014393,7.591368179,7.099014393,7.099014393,8.07668794,7.812191879,7.099014393,7.701987666,7.099014393,8.143814864,7.184132569,7.099014393,8.00900514,7.099014393,7.099014393,8.219024102,7.808672157,7.1438851,8.286267938,8.181000748,8.39265818,7.853521105,8.095127657,7.904230758,8.080516522,7.265730174,8.119688875,7.099014393,7.099014393,7.584563756,7.757950494,7.898816318,8.09913255,7.164433864,8.025317519,7.98607253,8.031786118,7.773153202,7.36474463,7.702291478,7.961993485,8.143321433,8.16913205,7.099014393,7.099014393,8.037893452,7.324163743,7.643865445,7.165766443,7.573422627,7.808869013
SNORA63,7.099014393,7.674924218,7.788204985,7.336322264,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.422070477,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.594777894,7.099014393,7.099014393,7.099014393,7.805907918,7.099014393,7.099014393,8.397204683,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.609285872,7.099014393,8.620728665,7.099014393,7.099014393,7.099014393,7.099014393,7.526368623,8.167319558,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.647882515,7.099014393,7.099014393,7.827823979,7.99851686,7.580425957,7.950630466,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,8.322154388,7.099014393,7.099014393,7.099014393,7.099014393,8.401409681
FKTN,7.208359784,7.363640054,7.191092992,7.781069567,7.135433371,7.099014393,7.77745422,7.099014393,7.137718568,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.393047652,7.099014393,7.14019252,7.139828041,7.210008127,7.099014393,7.099014393,7.361904697,7.099014393,7.099014393,7.732164692,7.099014393,7.099014393,7.099014393,7.735388323,7.178998828,7.099014393,7.099014393,7.099014393,7.122505754,7.315931347,7.131633123,7.099014393,7.144687801,7.380674856,7.099014393,7.151956198,7.099014393,7.099014393,7.099014393,7.099014393,7.438647449,7.099014393,7.111064285,7.162745851,7.099014393,7.150275497,7.696358784,7.237464135,7.266435102,7.099014393,7.099014393,7.099014393,7.493387993,7.18556377,7.121469482,7.099014393,7.099014393,7.099014393,7.099014393,7.457862643,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.175689074,7.099014393,7.158294524,7.12195374,7.141463817,7.152103583,7.099014393,7.128499475,7.125275372,7.124967029,7.18496456,7.099014393,7.099014393,7.099014393,7.140930147,7.099014393,7.126167739,7.16228821,7.099014393,7.099014393,7.099014393,7.371704251,7.46285971,7.339777015,7.479199823,7.099014393,7.099014393,7.099014393,7.099014393,7.099014393,7.123362461,7.128927633,7.099014393,7.135234747,7.099014393,7.099014393,7.099014393,7.099014393,7.389517895,7.099014393,7.711965752,7.099014393
DNAJB14,7.209382541,7.625778479,7.863389759,7.876496885,7.70470801,8.002604746,7.350743688,7.301562097,7.099014393,7.471876168,8.797874191,7.099014393,7.099014393,7.726213266,7.178781577,7.099014393,8.034384779,7.937759824,7.187199481,8.145168407,7.829860743,7.572788141,8.614308119,7.099014393,7.099014393,7.099014393,7.099014393,7.996984193,7.830987059,8.144003128,7.938941834,8.128568327,7.756951445,8.252340792,8.331459631,7.586994426,8.509848738,7.212974794,8.024539944,7.822937159,7.636326063,7.147869189,8.758084165,7.11812807,7.099014393,8.585729436,7.161437068,8.129102582,7.536164446,7.229064953,8.781648137,8.391439497,8.205116414,8.284988581,7.720093577,7.099014393,8.24249146,8.084417772,8.106484833,8.15403805,8.207864117,8.200302906,7.099014393,7.099014393,8.054217539,7.099014393,8.555467997,8.250473433,8.33437766,8.285626332,8.387100572,8.224135203,7.992159255,7.995767282,7.610881139,7.099014393,8.390157824,8.49277315,7.884860601,7.870423856,7.929512794,7.099014393,8.269815307,8.059882291,7.535015703,8.296762751,8.109356108,7.900569185,7.743007835,7.099014393,7.099014393,7.777767864,7.757184251,7.441215413,7.907603172,7.851305438,8.27433963,8.15992858,8.103371778,7.671309525,8.137148174,8.008429841,8.218248132,8.178216969,8.169564697,7.099014393,7.099014393,7.525807073,8.150212886,8.161527593,7.970621529,7.209044608,7.975391265
NBPF15,7.5588127,7.680246642,7.69368877,7.52090196,7.592452578,7.776806495,7.434952137,7.886272964,7.346506899,7.52094184,7.340376583,7.32863883,7.457683104,7.308247333,8.08381754,8.263912672,7.394162431,7.757081533,7.409718259,7.291218525,7.31625463,7.21892724,7.788802678,7.664414521,7.839883239,8.026612614,7.943150984,7.574186974,7.543718497,8.005591359,7.667998186,7.385011447,7.48621919,7.698779477,7.696380309,7.311660925,7.099014393,7.532198766,8.075018101,7.464937386,7.423884953,7.656274966,8.361975506,7.318965057,7.099014393,7.921064669,7.170406598,7.117551119,7.962719407,7.806463011,7.539885442,7.221330118,7.798876043,7.571119749,7.768739628,7.248871895,7.66207526,7.527249101,7.188342146,7.343128599,7.390640223,7.235800542,7.54757472,7.496228971,7.944645107,7.982134678,7.485096976,7.277427386,7.202335626,7.653409263,7.315989224,7.646733364,7.515269866,7.602681544,7.659946312,7.67832995,7.513166531,7.395378124,7.383760526,7.723880699,7.74318857,7.602107621,7.287202962,7.480066489,7.189694418,7.475252255,7.337557832,7.441870871,7.713505938,7.645566751,7.795784508,8.365866908,7.525744892,7.709903149,7.502528765,7.898194574,7.926507062,7.25551881,7.348770715,7.323879153,7.50087346,7.796236149,7.262407805,7.143847155,7.431357166,7.270300286,7.857626363,7.985287544,7.951306155,7.982961264,7.237992062,7.444440235,7.70835787
