gene,DFS.HV.CTC.5,ZZY.HV.CTC24,ZZY.HV.CTC5,ZZY.HV.CTC6,ZZY.HV.CTC7,GRL.HV.CTC14,GRL.HV.CTC15,GRL.HV.CTC18,LYT.PA.CTC.7,GHM.PA.CTC1,GHM.PA.CTC2,GHM.PA.CTC4,GHM.PA.CTC6,GRL.PA.CTC1,GRL.PV.CTC4,JYQ.PV.CTC2,DFS.PoV.CTC.3,DFS.PoV.CTC.4,DFS.PoV.CTC.6,LYT.PoV.CTC.1,LYT.PoV.CTC.5,LYT.PoV.CTC.6,XDY.PoV.CTC1,XDY.PoV.CTC3,XDY.PoV.CTC4,XDY.PoV.CTC5,XDY.PoV.CTC6,ZZY.PoV.CTC1,GHM.PoV.CTC2,XYQ.HV.CTC.15,XYQ.HV.CTC.16,XYQ.HV.CTC.2,XYQ.HV.CTC.5,LYT.PV.CTC.6,LYT.PV.CTC.9,XYQ.PV.CTC.11,LYT.PV.CTC.4,XYQ.PV.CTC.6,LFG.PV.CTC2,LFG.PV.CTC4,XDY.HV.CTC6,XDY.HV.CTC8,JYQ.HV.CTC1,LFG.HV.CTC1,LFG.HV.CTC4,GRL.PA.CTC2,JYQ.PA.CTC3,DFS.PV.CTC.2,DFS.PV.CTC.3,DFS.PV.CTC.4,LYT.HV.CTC.12,LYT.HV.CTC.14,LYT.HV.CTC.2,LYT.HV.CTC.4,XYQ.HV.CTC.7,XYQ.HV.CTC.8,JYQ.HV.CTC4,HYL.HV.CTC.4,HYL.HV.CTC.5,HYL.HV.CTC.7,HYL.HV.CTC.8,LYT.HV.CTC.10,GRL.HV.CTC3,XDY.HV.CTC10,XDY.HV.CTC11,XDY.HV.CTC12,XDY.HV.CTC1,XDY.HV.CTC3,HYL.PV.CTC.5,HYL.PV.CTC.6,HYL.PV.CTC.7,LYT.PV.CTC.10,LYT.PV.CTC.12,LYT.PV.CTC.13,LYT.PV.CTC.14,LYT.PV.CTC.15,LYT.PV.CTC.16,LYT.PV.CTC.20,LYT.PV.CTC.21,LYT.PV.CTC.22,LYT.PV.CTC.25,LYT.PV.CTC.26,LYT.PoV.CTC.2,LYT.PoV.CTC.4,LYT.PA.CTC.1,LYT.PA.CTC.3,LYT.PA.CTC.5,LYT.PA.CTC.6,XDY.PV.CTC8,GRL.PV.CTC1,GRL.PV.CTC2,GRL.PV.CTC3,ZZY.HV.CTC14,ZZY.HV.CTC17,ZZY.HV.CTC19,ZZY.HV.CTC22,JYQ.HV.CTC6,HYL.HV.CTC.1,HYL.HV.CTC.2,HYL.HV.CTC.3,DFS.PV.CTC.6,DFS.PV.CTC.7,HYL.PV.CTC.1,HYL.PV.CTC.2,HYL.PV.CTC.4,LFG.PV.CTC5,LFG.PV.CTC7,XDY.PV.CTC11,XDY.PV.CTC2,XDY.PV.CTC3,GRL.PoV.CTC1,LYT.HV.CTC.7,ZZY.HV.CTC11
HRG,8.137818798,8.020926103,8.136243631,7.981207656,8.379194008,8.871226202,7.92712781,9.009768507,7.101343198,7.217677215,9.124521221,8.966396013,8.834633248,7.135098665,7.101343198,7.280593347,8.069242996,8.251303106,7.101343198,7.663361827,8.724816512,8.327355187,8.826131532,7.157447719,8.427907089,9.01184266,8.926518851,8.305835609,7.146861577,7.101343198,7.101343198,7.588003623,7.101343198,7.101343198,7.101343198,8.44848921,7.101343198,7.878786645,7.243681606,7.101343198,7.152042083,8.882158297,7.101343198,7.153040446,9.527928851,7.184527455,7.101343198,7.101343198,7.215124945,7.101343198,7.101343198,7.203794688,8.841523834,8.416030542,7.101343198,7.101343198,8.222525621,7.217443291,7.581455839,7.297094317,8.188674744,8.253941785,9.176574463,8.701692526,8.405106894,8.788808791,8.879608079,8.428678518,7.327018184,7.292111495,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.037416862,7.101343198,8.152043587,8.440276949,7.101343198,7.247157859,8.236371564,8.223487113,7.150423662,7.101343198,7.101343198,7.292481662,8.460789918,7.851169556,8.247523617,8.441465877,7.101343198,7.934602689,7.793941787,8.50329581,7.101343198,7.493437627,7.207692503,7.28852185,7.101343198,9.358041505,8.895056485,7.101343198,7.101343198,7.133765868,9.118485836,9.015153021,7.999007219
ANGPTL3,7.101343198,8.393519344,8.319935991,8.422609098,8.192570536,8.488696852,7.80009349,8.44669821,8.111732155,7.670246958,8.948522108,8.331398958,8.751270518,8.687483217,7.101343198,7.189851381,8.274745334,8.027161784,7.101343198,7.766998391,7.101343198,8.099544362,8.791686917,8.025219466,8.029638106,8.66173927,9.061330878,8.089353863,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.243939714,7.101343198,7.672964705,7.101343198,8.38025663,8.391779677,7.101343198,7.902393195,8.776700077,7.295059627,7.101343198,7.101343198,7.321706562,8.678512649,7.178143733,7.101343198,7.858711694,8.789692615,8.356097584,7.101343198,8.355441977,7.101343198,7.101343198,8.009391676,7.424757104,7.745182378,7.234251129,7.308431669,7.101343198,7.101343198,8.62034911,8.060762592,9.060690003,8.768705575,7.502402775,7.101343198,7.406840841,7.429317838,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.678228799,8.3738651,7.872230888,8.031985702,7.694981577,8.164757926,7.101343198,7.101343198,7.101343198,7.101343198,8.376661118,8.05505142,8.093022233,8.190131823,8.055119382,7.584237743,7.331892546,7.511093975,7.101343198,7.398549202,7.353967122,7.571348471,7.577123138,7.101343198,8.499926405,7.101343198,7.101343198,7.101343198,8.254501647,8.28793146,7.984153502
MTCH2,7.44700851,8.296799636,8.349798702,8.396996929,8.222392286,8.330219111,8.574049423,7.801921046,8.645101303,7.147603452,8.796168879,8.711399302,8.678790622,8.689429185,7.185056887,7.101343198,8.203765552,8.178739674,8.199406478,8.046411223,8.195854101,8.505910879,8.186889672,8.392516591,8.606330586,8.473541522,8.280048446,8.066226575,8.279801919,7.101343198,7.101343198,8.025929296,7.440561434,7.71729389,7.991065621,7.750209295,7.411285878,7.101343198,7.140075507,7.220392357,8.305625789,7.101343198,8.748065867,8.35784653,7.101343198,7.91686037,7.280132407,8.35561494,8.425481187,7.72145044,7.437732019,7.550864379,8.583854216,8.245833816,7.101343198,8.353618504,8.251150839,7.469102685,7.961585751,8.208632222,7.803296672,8.056337558,7.101343198,7.101343198,8.239105171,8.672819074,7.47663005,8.256435715,7.347565136,7.832503594,7.101343198,7.289043649,7.811277999,7.101343198,8.092922553,7.101343198,8.270733248,7.958984123,7.920532583,8.042414806,8.206538862,7.101343198,8.119099394,8.294347144,8.319905442,7.568150717,8.14729442,8.453478904,8.597473196,7.615997719,7.231529702,7.101343198,8.346552547,8.23408712,8.25551562,8.289069837,7.207835925,7.786993541,7.782122456,8.284534903,7.263292989,8.37453925,7.101343198,7.305596099,7.70199932,7.101343198,8.783955034,7.101343198,7.262816664,7.990549595,9.051208602,7.101343198,8.364852949
HRSP12,8.308892325,8.299736547,8.317812377,8.414224393,8.407063221,8.998941851,9.018370263,9.34027236,8.130675112,8.637201442,9.329116625,8.597116468,8.877341696,9.187401595,7.101343198,7.411050551,8.358533613,7.68959067,8.197921972,7.856611639,8.96142009,7.668659795,9.004882481,7.691699333,8.735062308,8.863277062,8.954370435,8.567590423,8.28550975,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.461677485,7.101343198,8.857820613,7.197000369,7.101343198,8.135341897,9.000098611,8.220609684,8.153159591,9.128512151,7.457878306,8.960547879,8.095461212,7.694321664,7.763129833,8.328582044,8.657924085,8.736155968,8.561463404,7.101343198,7.101343198,8.878610654,8.174850674,8.553558069,8.425355837,8.333547281,7.101343198,9.393138472,8.754057796,8.414646236,9.163915309,8.69267436,8.431790835,7.474071408,7.722119247,8.716416694,7.101343198,8.075763016,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.389468324,8.530515201,7.101343198,8.323856191,8.767855838,8.595007889,8.840313069,8.379562827,8.751748371,7.148805449,7.101343198,7.101343198,7.286826709,8.390854601,8.326916985,8.333299216,8.334666703,8.463398886,8.497145061,8.353636068,8.423323568,7.101343198,7.574712495,7.621185203,7.585296454,7.477138179,9.16077982,8.859664089,7.101343198,7.101343198,8.284782568,8.846796773,9.063501984,7.899492299
MT1G,8.210515703,7.301013687,7.542680285,7.101343198,7.101343198,8.92537124,9.362078494,9.106083561,8.848145193,8.528830931,9.218398894,8.869140881,8.667248064,8.21328986,7.101343198,7.101343198,8.039063562,8.309487669,7.814684343,8.418659305,9.412971218,8.837016667,9.437259554,8.487867568,8.913304422,9.014423548,9.21498071,8.723053161,7.101343198,7.101343198,7.101343198,7.781725502,8.80409194,7.408165696,7.454395234,9.013396869,7.643960096,9.224662628,8.352727873,9.258473528,8.035480579,9.16308146,8.839963099,7.101343198,9.695424282,7.231602537,9.091019313,7.671130425,7.651177179,7.101343198,9.480278839,7.960507533,9.157099205,8.837084335,7.576478363,8.096089829,8.975353487,8.293067364,7.684579098,7.379568431,8.409195478,8.964822322,9.420870301,9.128771686,8.512293171,9.292722734,8.976781003,8.604465859,8.017067791,8.119515134,7.590776417,7.830421804,7.885492111,7.101343198,7.101343198,7.101343198,7.101343198,8.060924722,8.089677603,7.444512606,8.850888927,8.066287916,8.801792738,8.947306603,8.662905421,8.967291959,8.796248475,9.076566409,7.214267339,7.101343198,7.101343198,7.101343198,7.101343198,7.759622125,7.67210452,7.101343198,8.662184613,8.14599043,8.105161757,8.134824342,7.506031431,7.580242068,7.490146737,7.46743852,7.907728751,9.491176851,8.87547811,7.355875772,7.101343198,7.176959603,9.116847691,9.310195437,7.361805919
MT1H,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.889388633,8.93618693,7.101343198,7.101343198,7.101343198,8.468998782,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.521039165,7.101343198,7.461223354,8.515847064,8.1757036,8.99867647,7.845833644,8.256834593,8.438519723,8.831212193,8.225287763,7.101343198,7.101343198,7.101343198,7.101343198,8.133082524,7.101343198,7.101343198,8.266640533,7.101343198,8.799009044,7.101343198,7.101343198,7.669980545,8.360459893,8.550454242,7.101343198,8.861667685,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.891754794,8.346628409,8.769455954,7.930786589,7.101343198,7.101343198,8.222541058,8.046983455,7.101343198,7.101343198,8.051183409,8.541328672,9.018128275,8.458778873,8.220891637,8.56444985,8.406520229,7.963701731,7.101343198,7.101343198,7.101343198,7.101343198,7.435020938,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.128648171,7.101343198,7.784204319,8.030034849,7.711457714,8.353371117,7.503662332,8.648410174,7.101343198,7.101343198,7.101343198,7.101343198,7.311863723,7.101343198,7.101343198,7.101343198,8.048413396,7.101343198,7.788275323,7.101343198,7.101343198,7.412955662,7.101343198,7.101343198,7.101343198,8.674962202,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.694180379,7.101343198
PTPN6,8.149573461,7.862608001,7.985317222,7.811300169,7.91573706,7.898303181,7.101343198,7.317774541,8.357437882,7.801391626,7.277282829,8.254156175,7.954151838,7.101343198,7.101343198,8.826225226,7.368308597,7.504905006,7.87802433,7.692241339,8.256121385,7.101343198,7.831156153,7.547069968,7.98430558,7.101343198,7.101343198,7.101343198,8.222885728,7.713893771,8.302448184,8.268836437,8.498240549,8.109477946,8.206913001,8.336915555,8.635688577,8.101802087,8.535350953,7.101343198,7.844750128,7.631893681,8.726723896,7.101343198,7.101343198,8.440466203,7.600469857,8.013412854,8.487084596,8.874767206,7.101343198,7.101343198,8.236577291,7.101343198,8.32492277,8.629530925,8.311712279,7.836212023,8.32046733,7.97293439,8.317607297,8.582088317,7.101343198,8.300983649,8.140574639,8.427169933,8.549793501,7.101343198,8.139465163,8.31218407,8.417367923,8.226296808,8.145911517,8.372723112,8.398286622,8.024817501,8.476906345,8.126945341,8.314826881,8.25283953,8.317689488,8.08038782,8.251771585,7.101343198,8.233898819,8.305355741,8.064884964,7.987297278,8.46843685,7.101343198,8.868605541,8.226856362,7.888748595,7.367720421,7.761524476,7.939416781,7.858653861,8.449263837,8.469449562,8.231742202,8.256426669,8.341483312,8.616810936,7.101343198,8.38567549,7.101343198,8.608026232,7.741428076,8.603119771,8.395838632,7.101343198,8.000237641,8.037906481
GATM,7.43340734,8.283362047,8.445645932,8.491068769,8.635639199,8.761950183,8.33854044,9.162788025,8.20081563,8.245811013,9.195535857,8.705290813,8.982763154,9.302626007,7.101343198,7.300918612,7.424505621,7.460665279,7.430448026,8.071854503,8.53987743,7.774640869,9.101765962,7.755008354,8.473336908,8.901544656,9.104906896,8.419288104,7.101343198,7.101343198,7.101343198,7.297403349,7.101343198,7.531022667,7.834515028,7.101343198,7.101343198,8.70077129,7.563761878,7.222149715,8.050965781,9.006821052,7.703421382,7.101343198,9.528935032,8.13546066,7.998637221,7.101343198,7.581625208,7.946587749,8.752464491,7.360377943,8.684142883,8.573717848,7.101343198,7.101343198,8.058582155,8.143528311,7.944765218,7.58320747,8.094489488,8.480105913,9.241711866,8.959859263,8.469993641,8.720788894,8.977989807,8.437367633,7.562325759,7.365522043,7.511856405,7.101343198,7.589672879,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.340441774,8.596775713,7.101343198,7.837736508,8.459729824,7.65565818,8.451865235,8.28520217,8.304229632,7.101343198,7.511057846,7.101343198,7.313570921,8.479046542,8.39102811,8.314946861,8.446432615,8.221803162,7.71233377,7.858371229,7.616315492,7.483744495,7.42851262,7.644124775,7.71621922,7.789377201,8.345516013,8.806799409,7.207610654,7.101343198,7.12605481,9.143366007,8.592981783,8.379019443
HPD,7.101343198,7.313387022,7.69609882,7.690160432,7.701718873,9.009868,9.248794663,9.114601251,8.368875527,8.914729501,9.442192526,8.842220634,9.120251592,9.001652306,7.101343198,7.101343198,8.259506984,8.16144919,7.101343198,8.025536705,8.775499473,8.568856956,9.130800818,7.71706515,8.753048243,8.927673412,9.113508707,8.637501588,7.101343198,8.50950689,7.564283615,7.94675717,7.101343198,7.101343198,7.101343198,8.58575706,7.101343198,8.993863357,8.693549923,7.101343198,7.852140839,9.022949892,7.941281968,7.101343198,9.570444034,7.319087148,8.431358858,7.101343198,7.30330256,7.532723308,8.437490435,7.101343198,8.924233346,7.428371347,8.242377536,7.101343198,8.56500199,7.655085796,8.039752267,7.244467013,7.475090757,8.431831268,9.517418378,9.016001952,8.669134114,8.97414011,9.032383155,8.550116605,7.412593878,7.48146237,7.245421671,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,8.592442678,7.101343198,7.553141454,8.845518304,8.211716069,8.231686387,8.21206296,8.265907925,7.255314002,8.495438345,7.101343198,7.495213313,7.61806019,7.101343198,7.91413042,7.139041502,8.573314475,8.174327365,8.083176432,7.706769189,7.101343198,7.319762453,7.495363868,7.28930688,7.331108111,9.226506171,9.134525263,7.164620954,7.101343198,7.218165169,9.242998027,8.778628323,7.870323707
FABP1,8.182492869,8.387421054,8.672015133,8.415690566,8.830873191,9.077436685,9.259889041,9.394550447,8.667858042,9.050719779,9.357709729,9.014946976,9.240106907,8.625613817,7.101343198,7.419202324,7.488238017,8.558593171,8.374599205,8.538984912,9.410136232,8.854060815,8.89704184,8.06930981,8.727372097,8.914925982,9.148660236,8.740904273,7.101343198,8.707508038,7.101343198,7.101343198,8.497037052,7.101343198,7.101343198,9.127275935,7.101343198,9.232569367,7.687362879,9.29535154,8.09792146,9.181718118,8.93074012,7.101343198,9.647855682,8.395368522,9.062600703,7.101343198,7.78156287,8.289900652,9.411788039,8.827681278,9.189390032,8.504631563,8.519406337,7.101343198,8.716311216,8.348450729,8.290847382,7.831888388,8.541551792,9.012053687,9.569662503,8.980438635,8.47044715,8.77366816,9.065688767,8.567687194,7.835058486,7.82497992,8.152592156,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,7.101343198,9.029719166,7.101343198,8.611370501,9.287588004,8.955795488,9.158200099,8.890686584,9.029303579,7.101343198,7.101343198,7.404660167,7.101343198,8.675254741,8.660629488,8.314068222,8.427196211,8.288709275,8.531445247,8.397306319,8.710951409,7.64553348,7.525859468,8.157393303,7.871891659,7.694337317,9.650831803,9.182281795,7.316485397,7.101343198,7.217441603,9.277549732,9.238122154,8.398651552
