gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
MTCH2,-1.314009036,6.989143523,-5.722023543,7.52E-08,0.000598942,7.458207435,DOWN
HRSP12,-1.575908602,7.240811357,-5.678349472,9.21E-08,0.000598942,7.345808837,DOWN
ETFB,-1.159603069,7.259498825,-5.471744517,2.38E-07,0.001030039,6.471597805,DOWN
ALB,-1.353838513,8.247060117,-5.166230611,9.31E-07,0.003025485,5.425782334,DOWN
APOA2,-1.485847744,8.267763325,-5.035627748,1.64E-06,0.004278598,4.903578317,DOWN
DCXR,-1.151424535,7.646859225,-4.850376912,3.64E-06,0.007880531,4.113875016,DOWN
APOC1P1,-0.887560129,7.424219685,-4.703334154,6.74E-06,0.012513425,3.529059645,DOWN
ACAA2,-1.219447637,7.053618797,-4.619493231,9.52E-06,0.015479672,3.172546353,DOWN
DNPH1,-1.240756724,6.885170563,-4.550204091,1.26E-05,0.017736014,2.951438044,DOWN
FABP1,-1.512556043,7.491017594,-4.531491291,1.36E-05,0.017736014,2.930542481,DOWN
HRG,-1.388683852,6.618360201,-4.385480396,2.45E-05,0.028977518,2.373376427,DOWN
ALDOB,-1.200984606,7.49292979,-4.357369025,2.74E-05,0.029694214,2.295273499,DOWN
TLR7,0.817035284,5.529691805,4.318414687,3.20E-05,0.031962635,2.190035696,UP
MRPL40,-1.304669631,6.722044437,-4.278292406,3.74E-05,0.034736198,1.986426666,DOWN
MICAL1,0.842891888,5.728074633,4.222967923,4.64E-05,0.037074829,1.851232571,UP
HPD,-1.388744004,6.914983039,-4.182801713,5.42E-05,0.037074829,1.691668473,DOWN
ANGPTL3,-1.249317405,6.518220269,-4.191088228,5.25E-05,0.037074829,1.674546007,DOWN
ITM2C,1.23516471,6.457497858,4.194177538,5.18E-05,0.037074829,1.653825007,UP
CYP2E1,-1.273941643,7.496457355,-4.152464097,6.09E-05,0.038363604,1.607267293,DOWN
AKR1C4,-1.15351003,6.757669434,-4.084808484,7.88E-05,0.038566526,1.314211342,DOWN
ACAT1,-1.100962129,7.151443572,-4.066637035,8.44E-05,0.038566526,1.279847758,DOWN
APOC1,-0.784664612,8.274463979,-4.061710363,8.60E-05,0.038566526,1.263448091,DOWN
ATP6V0A1,-0.958026487,6.614129271,-4.064772678,8.50E-05,0.038566526,1.233265298,DOWN
PTPN6,1.169503515,7.099086954,4.076595178,8.13E-05,0.038566526,1.226269204,UP
ADH1B,-1.304931056,7.182025651,-4.027286886,9.79E-05,0.038566526,1.174519012,DOWN
LSM5,-0.863445488,6.671991945,-4.045746695,9.13E-05,0.038566526,1.171605764,DOWN
TXN2,-1.137862609,6.962980799,-4.031101385,9.65E-05,0.038566526,1.160148476,DOWN
CISD3,-0.967630189,6.186077254,-4.043200168,9.22E-05,0.038566526,1.141591427,DOWN
MT1F,-1.2798351,6.447379973,-4.029329565,9.71E-05,0.038566526,1.141155789,DOWN
LILRA5,0.8686622,5.809585557,3.978780116,0.000117328,0.044878103,1.021561312,UP
MGST2,-1.0723598,7.051015801,-3.926994828,0.000142169,0.051358471,0.834394438,DOWN
NDUFS8,-1.058533285,7.224931828,-3.864613254,0.000178766,0.061180186,0.648409963,DOWN
IFNAR2,0.937930887,6.212923291,3.866990837,0.00017722,0.061180186,0.646352021,UP
TTR,-1.288115021,7.497343885,-3.835111743,0.000199045,0.061919358,0.561370148,DOWN
SAMHD1,0.966467561,6.129000263,3.835393084,0.000198842,0.061919358,0.533352691,UP
PTTG1,-1.276687961,6.495368274,-3.837167753,0.000197564,0.061919358,0.530635025,DOWN
CYB5A,-1.155287125,7.52386262,-3.817988935,0.0002118,0.061919358,0.507588232,DOWN
MT1G,-1.317879281,7.305971272,-3.812003297,0.000216439,0.061919358,0.489108101,DOWN
MRPL12,-1.187515826,6.556114605,-3.800758759,0.000225416,0.061919358,0.401260578,DOWN
GYG2P1,0.80611831,5.570226687,3.781937701,0.000241238,0.061919358,0.386793649,UP
TPM2,1.112522301,6.24180788,3.769415805,0.000252343,0.061919358,0.338876994,UP
CNOT10,-1.041617025,6.250918049,-3.779793046,0.000243107,0.061919358,0.335455708,DOWN
C1orf123,-1.126841994,6.387050387,-3.77256341,0.000249507,0.061919358,0.314738877,DOWN
PMPCB,-1.020459542,6.19751151,-3.757993714,0.000262895,0.062274926,0.262258124,DOWN
TAF9B,-0.959879778,6.027608862,-3.721853749,0.000299106,0.068243451,0.150593139,DOWN
FAM129C,0.940489472,5.839577131,3.678608034,0.000348655,0.076851864,0.072584836,UP
COPS8,-0.9769792,6.646767459,-3.658024923,0.000374879,0.080104007,-0.016837199,DOWN
SHMT1,-1.099627677,6.154756745,-3.623026115,0.000423803,0.08611803,-0.128943805,DOWN
SUCLG2,-0.953682681,6.372819253,-3.62544823,0.000420231,0.08611803,-0.129846381,DOWN
ADH1A,-1.186324658,6.919361902,-3.573906861,0.000502721,0.096556938,-0.248550197,DOWN
AMBP,-1.237690081,7.069865232,-3.56257384,0.000522803,0.096556938,-0.279654945,DOWN
CBR1,-1.043799541,7.156484378,-3.560176897,0.000527147,0.096556938,-0.29041095,DOWN
C19orf48,-1.054578438,6.343109486,-3.544645635,0.000556125,0.098055608,-0.360759608,DOWN
GATM,-1.08490976,6.996533102,-3.535953142,0.000572992,0.098055608,-0.362384906,DOWN
PEBP1,-0.8176244,7.067327469,-3.526555186,0.00059177,0.098055608,-0.392648868,DOWN
PLCL2,0.905759015,5.906719734,3.515270869,0.000615083,0.098055608,-0.42324587,UP
COMMD9,-0.802297516,6.50560828,-3.519521479,0.000606201,0.098055608,-0.43409739,DOWN
ACADSB,-0.873179685,6.332539403,-3.517955906,0.000609458,0.098055608,-0.439984137,DOWN
MRPS35,-0.985750384,6.555376793,-3.510214739,0.000625807,0.098055608,-0.453763624,DOWN
NUDT19,-0.844118396,6.847410956,-3.475979889,0.000703183,0.098946041,-0.549302941,DOWN
TXNDC9,-1.020269835,6.513785949,-3.47542404,0.000704511,0.098946041,-0.55156204,DOWN
FCER1A,1.089659602,6.078057738,3.468182159,0.000722024,0.098946041,-0.556295485,UP
